B_0	B_1	B_2	B_3	B_4	B_5	B_6	B_7	B_8	B_9	B_10	Action	Predict	Error	Fitness	Numer	GACount	SubsumerCount	AveActionSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	ActionCount
#	1	1	1	#	1	#	1	1	#	#	0	0.0	0.00	135.28	16	21	3	285.7	999824	919833	0.5	4571.860731327137	633
1	#	1	#	1	#	1	1	#	1	#	0	0.0	0.00	181.79	13	387	97	283.9	999839	286144	0.5	3690.8486064589374	5517
#	#	0	#	0	0	#	#	0	0	0	0	1000.0	0.00	114.12	12	205	48	272.5	999963	652390	0.5	3269.468458551	2741
#	0	#	0	0	0	#	#	0	0	#	0	1000.0	0.00	163.13	11	569	163	282.0	999956	214063	0.5	3102.2187281391843	6185
1	#	1	#	1	1	1	#	#	1	#	1	1000.0	0.00	112.44	11	16	2	291.2	999954	908829	0.5	3202.8240497980464	668
#	#	#	1	1	1	1	#	#	1	1	0	0.0	0.00	125.79	10	528	157	288.6	999999	39012	0.5	2885.973528783102	7448
#	0	0	0	#	0	#	#	#	0	0	0	1000.0	0.00	126.06	10	249	47	291.8	999757	569221	0.5	2917.771391705351	3393
1	#	1	1	#	#	1	#	#	1	1	0	0.0	0.00	98.12	10	175	43	298.2	999926	681968	0.5	2981.6534071811707	2463
#	#	1	1	1	1	1	#	#	1	#	1	1000.0	0.00	125.23	10	131	30	272.9	999742	747620	0.5	2729.20203801257	1994
#	#	0	#	#	0	0	0	0	#	0	0	1000.0	0.00	150.13	10	139	31	287.9	999644	767450	0.5	2879.0637229902227	1867
1	#	#	#	#	1	1	1	#	1	1	1	1000.0	0.00	114.37	10	91	22	286.6	999954	840174	0.5	2866.3656361689473	1267
0	#	#	#	0	0	#	#	0	0	0	0	1000.0	0.00	117.34	10	32	9	281.5	999644	897337	0.5	2815.4609564304255	827
1	#	#	#	1	1	#	#	1	1	1	0	0.0	0.00	117.86	9	643	175	295.3	999673	4279	0.5	2657.8894186793873	7887
#	0	0	0	0	#	#	#	#	0	0	1	0.0	0.00	136.42	9	430	117	302.3	999979	136731	0.5	2720.8115252757743	6706
#	1	1	#	#	1	1	1	#	#	1	0	0.0	0.00	119.52	9	339	81	286.1	999933	301565	0.5	2575.339596790083	5367
0	#	#	0	0	0	0	#	#	#	0	1	0.0	0.00	84.06	9	150	34	289.8	999852	661385	0.5	2607.8882374858376	2640
#	#	#	0	0	#	0	0	0	#	0	1	0.0	0.00	109.45	9	123	30	297.5	999827	713393	0.5	2677.571811756398	2230
1	1	1	#	#	#	1	#	1	#	1	0	0.0	0.00	103.84	9	87	22	296.4	999926	752579	0.5	2667.1920059468603	1945
0	#	#	#	#	0	0	0	0	#	0	0	1000.0	0.00	142.03	9	123	29	289.5	999644	786652	0.5	2605.577089747312	1652
#	0	#	0	#	#	0	0	#	0	0	0	1000.0	0.00	123.61	9	58	8	274.2	999854	842505	0.5	2467.48349343327	1223
#	#	#	0	0	#	0	0	0	#	0	0	1000.0	0.00	99.21	8	627	179	278.6	999575	22582	0.5	2229.1747938394897	7678
1	1	#	1	#	1	1	#	#	#	1	1	1000.0	0.00	104.37	8	475	139	283.0	999908	250682	0.5	2263.600791091945	5987
0	0	#	#	0	0	#	#	0	#	0	0	1000.0	0.00	86.72	8	502	121	286.6	999347	261634	0.5	2292.584763335421	5818
0	0	0	#	#	#	0	0	#	#	0	1	0.0	0.00	106.19	8	321	91	289.3	999827	343229	0.5	2314.787621568015	5094
1	1	#	#	1	#	1	1	1	#	#	0	0.0	0.00	117.48	8	325	82	294.3	999993	450669	0.5	2354.4291675301797	4356
#	#	#	0	#	0	0	0	0	0	#	0	1000.0	0.00	88.32	8	265	87	283.9	999850	581624	0.5	2270.9339713120453	3319
0	0	#	0	#	0	#	0	#	0	#	1	0.0	0.00	130.13	8	208	49	284.6	999891	582223	0.5	2276.5521432576415	3227
1	1	#	1	1	#	#	1	1	#	#	1	1000.0	0.00	105.05	8	227	69	274.4	999808	583284	0.5	2195.3931445598027	3273
0	0	#	0	#	#	#	#	0	0	0	0	1000.0	0.00	130.02	8	177	46	286.8	999411	621148	0.5	2294.7200834391097	2980
0	0	#	0	#	#	0	0	#	0	#	0	1000.0	0.00	93.85	8	185	33	273.7	999676	681420	0.5	2189.236078969711	2516
#	1	#	1	1	1	#	#	1	1	#	0	0.0	0.00	113.14	8	152	29	292.8	999701	713505	0.5	2342.580198820617	2286
#	0	#	#	0	0	#	0	#	0	0	0	1000.0	0.00	106.64	8	190	48	270.4	999991	723442	0.5	2162.873692212073	2204
1	#	1	#	#	#	1	#	1	1	1	1	1000.0	0.00	117.12	8	112	25	272.6	999911	812433	0.5	2180.9481391497097	1464
#	#	#	0	0	0	0	0	0	#	#	0	1000.0	0.00	93.09	8	71	17	294.6	999850	817428	0.5	2357.1474210630577	1401
1	1	#	1	#	#	#	1	#	1	1	1	1000.0	0.00	97.65	8	35	8	282.2	999892	896445	0.5	2257.8605228792762	816
0	#	#	0	0	#	#	0	0	#	0	0	1000.0	0.00	118.55	8	32	4	269.9	999430	898805	0.5	2158.8947683736983	765
1	1	#	1	1	1	#	#	1	#	#	0	0.0	0.00	72.67	7	604	160	297.2	999993	4121	0.5	2080.521213857258	7769
0	0	#	0	0	#	0	0	#	#	#	1	0.0	0.00	97.76	7	522	119	288.6	999827	18531	0.5	2019.896811762425	7574
#	1	#	1	1	#	1	#	1	#	1	1	1000.0	0.00	64.92	7	460	121	266.6	999759	28965	0.5	1865.8761078829575	7653
1	1	#	1	#	#	1	1	#	#	1	1	1000.0	0.00	72.43	7	541	138	281.4	999908	48271	0.5	1969.8310534797547	7584
0	#	0	0	#	0	0	0	#	#	#	1	0.0	0.00	123.50	7	457	115	267.9	999941	139129	0.5	1874.9883289282636	6549
1	1	1	1	#	#	#	#	1	#	1	1	1000.0	0.00	128.62	7	523	143	275.8	999974	162734	0.5	1930.4739765127147	6627
0	0	0	0	0	#	#	#	#	#	0	0	1000.0	0.00	83.62	7	393	104	284.0	999769	225625	0.5	1987.8834280430963	5991
0	#	#	0	0	0	0	#	#	0	#	1	0.0	0.00	99.44	7	307	77	284.9	999986	336390	0.5	1994.5626881146136	5062
#	1	1	#	1	1	#	1	#	#	1	1	1000.0	0.00	94.20	7	350	86	295.0	999954	413231	0.5	2064.7740497798245	4592
0	#	0	0	0	#	#	#	0	0	#	0	1000.0	0.00	82.39	7	262	56	277.6	999845	512133	0.5	1942.8996030679436	3819
0	#	0	#	#	#	0	0	0	#	0	1	0.0	0.00	80.88	7	204	52	276.7	999928	550014	0.5	1937.057198665579	3482
#	#	1	1	1	#	1	1	#	1	#	0	0.0	0.00	95.27	7	256	73	283.1	999955	557587	0.5	1981.964028356662	3410
0	#	#	#	0	#	#	0	0	0	0	0	1000.0	0.00	108.53	7	271	75	261.8	999644	566501	0.5	1832.5219285141698	3345
1	#	1	#	1	1	#	1	1	#	#	1	1000.0	0.00	94.71	7	221	56	284.0	999911	613753	0.5	1988.1415245869337	2940
0	0	0	#	0	#	0	0	#	#	#	1	0.0	0.00	110.83	7	184	42	293.2	999827	627095	0.5	2052.298041504719	2931
1	#	1	1	1	1	#	#	#	1	#	1	1000.0	0.00	96.12	7	173	26	270.0	999860	683911	0.5	1889.6666555905083	2483
1	#	1	#	1	1	1	#	#	#	1	0	0.0	0.00	87.99	7	128	36	281.1	999672	693671	0.5	1967.7082537817757	2431
#	#	0	#	0	0	0	#	0	#	0	1	0.0	0.00	116.69	7	125	30	289.0	999979	746705	0.5	2023.315624050349	1955
#	#	1	#	#	1	1	1	1	1	#	1	1000.0	0.00	87.16	7	122	37	274.0	999911	764151	0.5	1917.787064541821	1880
1	1	#	#	1	#	1	#	#	1	1	1	1000.0	0.00	83.77	7	86	17	285.5	999954	789810	0.5	1998.3383507087765	1649
#	0	#	0	#	#	0	0	#	0	0	1	0.0	0.00	89.26	7	74	12	300.4	999891	835284	0.5	2102.816439694365	1295
0	0	0	#	0	0	#	#	0	#	#	0	1000.0	0.00	121.55	7	114	23	293.9	999817	837682	0.5	2057.2119675021227	1273
1	#	1	1	1	#	1	1	#	#	#	1	1000.0	0.00	107.57	7	89	18	269.6	999908	841393	0.5	1887.2393951073664	1253
0	0	#	#	#	0	#	0	0	0	#	1	0.0	0.00	84.47	7	47	9	293.1	999891	859851	0.5	2051.800391248413	1078
1	1	1	1	#	#	#	#	#	1	1	0	0.0	0.00	82.45	7	22	0	299.8	999926	925067	0.5	2098.86377915491	594
1	#	#	#	1	1	1	1	1	#	#	0	0.0	0.00	83.40	7	11	3	287.7	999993	925719	0.5	2013.9746448687376	590
#	0	#	0	#	0	#	0	#	0	0	0	1000.0	0.00	33.46	7	8	0	297.0	999991	927558	0.5	2078.9522465798927	549
#	#	#	#	1	#	#	1	1	#	1	0	54.9	72.57	30.45	7	17	0	198.9	999995	995013	0.4	1392.329205016315	173
#	#	0	#	0	#	0	0	0	0	#	1	0.0	0.00	91.12	6	561	138	290.4	999997	11645	0.5	1742.585779173267	7664
1	#	1	1	1	#	1	#	1	#	#	1	1000.0	0.00	81.18	6	629	174	277.2	999903	21819	0.5	1663.4019644020682	7747
0	#	0	0	0	#	#	0	#	#	0	0	1000.0	0.00	65.12	6	485	117	271.6	999728	82155	0.5	1629.342470272035	7176
0	#	#	#	#	0	0	0	#	0	0	0	1000.0	0.00	100.60	6	519	138	271.0	999922	158331	0.5	1626.2054595467903	6752
1	#	#	#	1	1	#	1	1	#	1	1	1000.0	0.00	84.35	6	480	119	275.2	999911	196791	0.5	1651.1307953600556	6147
0	#	#	0	#	#	0	0	0	0	#	0	1000.0	0.00	78.87	6	465	116	275.6	999676	276637	0.5	1653.3759521742209	5689
1	#	#	1	#	1	1	1	#	1	#	0	0.0	0.00	101.21	6	375	100	290.5	999499	371909	0.5	1742.9825773786386	4910
0	#	#	0	#	0	0	0	0	#	#	1	0.0	0.00	83.98	6	308	73	271.7	999950	422164	0.5	1630.2714132974825	4496
0	#	0	#	#	#	0	0	0	0	#	0	1000.0	0.00	92.25	6	276	57	265.4	999817	436391	0.5	1592.3179061948076	4382
1	1	1	#	1	1	#	#	#	#	1	0	0.0	0.00	90.34	6	245	68	290.1	999829	482120	0.5	1740.3066077339456	4085
1	1	#	#	1	1	#	1	#	1	#	1	1000.0	0.00	73.96	6	322	73	289.2	999964	495142	0.5	1735.446324130098	3946
#	1	1	#	1	1	#	#	1	1	#	0	0.0	0.00	90.53	6	239	68	275.5	999713	499933	0.5	1653.2827710874417	3978
1	1	#	1	1	#	1	#	#	1	#	1	1000.0	0.00	70.12	6	241	61	287.7	999964	528444	0.5	1726.3194557326096	3766
#	1	1	1	1	#	1	#	1	#	#	1	1000.0	0.00	111.46	6	203	54	273.9	999669	586629	0.5	1643.3901155191502	3213
#	0	0	#	0	#	#	0	0	0	#	1	0.0	0.00	68.38	6	198	48	301.4	999997	595576	0.5	1808.5181608130824	3126
1	1	#	#	#	1	#	#	1	1	1	1	1000.0	0.00	94.55	6	234	49	277.2	999911	597433	0.5	1663.2573563355538	3141
#	0	#	#	0	0	#	0	#	0	0	1	0.0	0.00	101.26	6	242	59	312.7	999981	624167	0.5	1876.2449266443073	2898
1	#	#	#	#	1	1	#	1	1	1	0	0.0	0.00	116.28	6	212	55	295.2	999969	633496	0.5	1771.1599216490376	2864
0	0	#	0	#	#	0	0	0	#	#	0	1000.0	0.00	87.37	6	172	45	281.3	999676	650247	0.5	1688.0680096257443	2707
1	1	1	#	#	#	1	1	#	1	#	0	0.0	0.00	89.82	6	148	39	290.0	999933	676099	0.5	1739.8760487786853	2513
1	#	#	1	1	1	#	#	#	1	1	0	0.0	0.00	102.66	6	130	35	291.0	999999	739227	0.5	1746.2302994597062	2035
#	1	1	1	#	#	#	1	#	1	1	0	0.0	0.00	103.01	6	145	35	286.6	999824	740030	0.5	1719.3567911709142	1998
#	1	#	#	1	#	1	1	1	#	1	1	1000.0	0.00	116.66	6	122	26	267.2	999911	740166	0.5	1603.3835687525432	2079
1	1	1	1	#	#	#	#	1	1	#	1	1000.0	0.00	79.57	6	116	30	270.7	999998	751617	0.5	1624.3369775057577	1981
1	#	#	1	#	1	#	#	1	1	1	1	1000.0	0.00	88.86	6	132	30	274.3	999892	753036	0.5	1645.8866217834056	1941
#	0	#	#	#	0	0	#	0	0	0	1	0.0	0.00	127.27	6	127	24	280.9	999981	756704	0.5	1685.3443795262606	1942
