A_0	A_1	R_0	R_1	R_2	R_3	Action	Predict	Error	Fitness	Numer	GACount	SubsumerCount	ActionSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	ActionCount
0	1	#	0	#	#	1	0.0	0.00	612.20	22	34	5		33.9		4997		3043		0.50		745.6		64
0	1	#	0	#	#	0	1000.0	0.33	494.97	22	23	9		44.2		4958		3555		0.50		972.6		129
#	1	#	1	#	1	0	0.0	0.00	479.37	20	15	0		31.5		4983		3566		0.50		593.2		42
#	0	1	#	1	#	0	0.0	0.00	610.04	17	42	6		31.0		4946		2261		0.50		526.6		93
1	0	#	#	0	#	0	1000.0	0.00	634.76	16	58	19		35.2		4990		2641		0.50		562.4		221
0	0	0	#	#	#	1	0.0	0.00	723.40	15	79	17		29.6		4943		358		0.50		444.5		159
#	1	#	0	#	0	0	1000.0	0.00	611.21	15	109	23		45.7		4984		1036		0.50		685.1		372
0	0	0	#	#	#	0	1000.0	0.05	761.17	15	130	19		35.9		4975		1071		0.50		543.4		361
1	#	#	#	0	0	1	0.0	0.00	750.84	15	40	6		29.9		4979		1652		0.50		448.2		101
0	0	1	#	#	#	1	1000.0	0.00	580.22	15	61	18		40.0		4985		2233		0.50		600.6		258
0	#	1	1	#	#	1	1000.0	0.09	495.27	14	133	7		46.3		4985		327		0.50		648.0		446
0	1	#	1	#	#	1	1000.0	0.12	524.07	13	47	8		38.9		4965		2610		0.50		505.1		225
1	0	#	#	1	#	1	1000.0	0.06	665.77	12	111	4		40.5		4971		187		0.50		486.2		456
#	1	#	1	#	1	1	1000.0	0.16	469.51	11	79	9		42.9		4994		1137		0.50		473.7		366
1	#	#	#	1	#	1	866.1	252.87	71.45	10	105	0		39.7		4971		8		0.33		396.5		854
#	0	0	#	0	#	1	0.0	0.38	616.88	10	93	3		27.7		4979		115		0.50		277.5		177
0	#	1	1	#	#	0	0.0	3.02	572.89	8	57	0		32.2		4983		629		0.50		257.6		130
0	0	1	#	#	#	0	0.0	0.00	484.65	8	23	5		30.0		4947		2067		0.50		239.6		90
1	#	1	#	0	#	0	850.8	265.39	26.85	7	58	0		35.5		4945		12		0.50		248.1		397
0	#	0	0	#	#	0	1000.0	0.07	244.53	7	53	7		45.0		4975		1221		0.50		314.8		343
0	1	#	1	#	#	0	0.0	3.16	485.04	7	31	0		29.4		4983		2359		0.50		205.9		79
1	#	#	#	1	1	0	0.0	0.00	348.01	7	9	0		29.7		4982		4204		0.50		207.7		18
1	#	#	#	1	1	1	1000.0	0.09	410.30	6	52	13		46.4		4960		1654		0.50		278.1		308
#	0	0	#	0	#	0	1000.0	0.12	222.42	6	31	7		37.5		4990		2151		0.50		225.7		264
1	#	#	#	0	0	0	1000.0	0.00	436.46	6	41	7		39.9		4945		2572		0.50		239.6		228
1	1	#	#	#	1	1	1000.0	0.33	454.48	6	28	2		37.3		4994		3116		0.50		224.5		161
1	1	#	#	1	1	0	0.0	0.00	500.44	6	19	0		22.5		4961		3616		0.67		135.1		23
#	0	1	#	1	#	1	1000.0	0.04	334.00	5	64	8		45.7		4985		528		0.50		228.3		407
1	1	#	#	#	1	0	0.0	3.38	362.00	5	10	0		25.2		4961		3839		0.50		123.2		37
1	0	#	#	1	#	0	0.0	9.04	458.12	4	49	0		26.4		4982		1142		0.50		105.5		110
#	1	#	0	0	#	1	402.7	447.38	22.57	4	19	0		29.9		4997		1797		0.50		119.2		128
1	1	#	#	#	0	0	1000.0	0.00	294.69	4	12	1		30.5		4984		3764		0.50		122.0		103
#	0	#	0	0	0	1	523.2	494.88	44.85	3	34	0		29.8		4979		0		0.67		89.2		127
#	#	1	0	#	1	1	788.3	344.84	11.80	3	27	0		37.2		4986		278		0.50		111.7		333
#	0	1	0	0	0	1	797.5	314.32	123.48	3	41	0		32.9		4928		279		0.83		98.5		79
#	#	0	0	0	0	0	1000.0	0.00	266.43	3	53	6		48.4		4975		623		0.67		145.2		203
#	#	1	0	#	0	1	668.9	438.96	11.96	3	23	0		35.8		4976		624		0.50		107.4		250
0	#	0	0	#	1	1	0.0	5.29	129.78	3	24	0		32.4		4943		1293		0.67		97.3		70
0	1	0	1	#	#	0	0.0	10.48	261.30	3	17	0		31.4		4811		1330		0.67		94.2		56
1	0	#	1	#	0	0	779.0	316.69	29.03	3	14	0		38.1		4945		1616		0.67		114.3		104
#	0	1	#	#	1	1	900.4	180.44	27.31	3	5	0		40.5		4986		3480		0.50		121.5		111
#	1	#	1	#	#	1	848.3	266.72	11.98	3	7	0		36.6		4994		3569		0.33		110.2		236
