A_0	A_1	A_2	R_0	R_1	R_2	R_3	R_4	R_5	R_6	R_7	Action	Predict	Error	Fitness	Numer	GACount	SubsumerCount	ActionSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	ActionCount
1	1	0	#	#	#	#	#	#	0	#	0	1000.0	0.02	816.79	34	340	67		46.0		19973		3249		0.36		1562.8		517
1	1	0	#	#	#	#	#	#	0	#	1	0.0	0.23	709.35	33	224	23		49.7		19979		5001		0.36		1639.3		474
1	1	1	#	#	#	#	#	#	#	0	1	0.0	0.00	803.02	33	225	48		48.4		19936		6903		0.36		1598.3		421
1	1	0	#	#	#	#	#	#	1	#	1	1000.0	0.02	692.97	32	409	74		51.2		19951		674		0.36		1639.7		591
0	0	0	0	#	#	#	#	#	#	#	0	1000.0	0.00	672.41	31	347	94		49.6		19974		1977		0.36		1538.1		558
1	1	1	#	#	#	#	#	#	#	0	0	1000.0	0.00	793.86	30	309	82		45.3		19947		2773		0.36		1358.6		515
0	1	0	#	#	1	#	#	#	#	#	0	0.0	0.00	716.98	30	294	68		49.9		19975		5307		0.36		1497.0		455
0	0	0	1	#	#	#	#	#	#	#	0	0.0	0.00	743.67	28	285	77		41.9		19945		4609		0.36		1174.2		476
1	0	1	#	#	#	#	#	1	#	#	1	1000.0	0.00	615.86	28	186	39		45.2		19895		8873		0.36		1265.2		353
1	1	0	#	#	#	#	#	#	1	#	0	0.0	0.00	759.88	27	398	100		50.5		19959		1608		0.36		1364.4		589
1	0	0	#	#	#	#	1	#	#	#	0	0.0	0.00	739.78	27	305	67		49.1		19991		4464		0.36		1323.1		500
0	1	1	#	#	#	1	#	#	#	#	1	1000.0	0.02	661.52	26	338	50		48.6		19989		437		0.36		1262.3		623
0	0	1	#	0	#	#	#	#	#	#	0	1000.0	0.11	659.46	26	309	33		51.9		19938		2212		0.36		1348.4		549
0	1	1	#	#	#	0	#	#	#	#	1	0.0	0.00	675.99	26	245	51		53.3		19965		5039		0.36		1385.6		458
1	0	1	#	#	#	#	#	0	#	#	1	0.0	0.14	553.83	26	109	19		49.3		19956		10387		0.36		1282.2		306
0	1	1	#	#	#	0	#	#	#	#	0	1000.0	0.00	622.29	26	133	28		46.2		19969		11922		0.36		1201.8		249
0	1	1	#	#	#	1	#	#	#	#	0	0.0	0.14	745.34	25	178	25		46.7		19942		3140		0.36		1168.1		522
0	0	0	1	#	#	#	#	#	#	#	1	1000.0	0.00	713.44	25	291	75		48.5		19977		4969		0.36		1211.7		474
0	1	0	#	#	1	#	#	#	#	#	1	1000.0	0.32	460.21	25	121	14		52.6		19961		6128		0.36		1315.0		444
0	0	1	#	1	#	#	#	#	#	#	1	1000.0	0.00	697.01	24	239	61		48.1		19981		6390		0.36		1155.5		420
0	0	0	0	#	#	#	#	#	#	#	1	0.0	0.02	630.59	23	248	63		52.3		19927		3230		0.36		1202.4		536
1	0	1	#	#	#	#	#	0	#	#	0	1000.0	0.00	584.19	23	101	26		49.1		19912		13057		0.36		1128.2		216
0	0	1	#	0	#	#	#	#	#	#	1	0.0	0.01	580.55	21	318	42		48.3		19976		670		0.36		1013.6		619
0	1	0	#	#	0	#	#	#	#	#	1	0.0	0.00	642.59	21	238	59		46.4		19990		4622		0.36		973.8		485
1	0	0	#	#	#	#	1	#	#	#	1	1000.0	0.00	558.94	21	219	46		41.8		19971		5231		0.36		878.8		452
1	0	#	#	#	#	#	0	0	#	#	1	0.0	0.00	466.83	20	391	82		59.9		19967		1712		0.36		1197.6		584
1	0	0	#	#	#	#	0	#	#	#	0	1000.0	0.00	623.75	20	265	62		46.1		19980		5027		0.36		922.6		439
0	0	1	#	1	#	#	#	#	#	#	0	0.0	0.00	736.29	20	243	54		41.2		19995		5062		0.36		824.4		477
0	1	0	#	#	0	#	#	#	#	#	0	1000.0	0.00	614.72	20	210	62		47.1		19998		8498		0.36		942.4		360
#	1	1	#	#	#	0	#	#	#	0	1	0.0	0.00	332.54	19	225	67		58.2		19965		3121		0.36		1106.2		521
#	0	0	1	#	#	#	1	#	#	#	1	1000.0	0.00	380.29	19	141	40		52.8		19954		5539		0.36		1003.5		449
1	0	0	#	#	#	#	0	#	#	#	1	0.0	0.28	492.05	19	94	14		51.6		19967		6323		0.36		979.9		456
#	1	0	#	#	1	#	#	#	1	#	1	1000.0	0.00	395.05	18	241	72		61.4		19961		3851		0.36		1105.5		496
1	1	1	#	#	#	#	#	#	#	1	0	0.0	0.28	698.34	18	177	20		46.0		19958		5183		0.36		828.7		457
1	0	1	#	#	#	#	#	1	#	#	0	0.0	0.00	650.81	18	124	24		47.0		19766		11854		0.36		845.5		251
#	1	0	#	#	0	#	#	#	0	#	1	0.0	0.00	374.70	17	303	90		57.2		19990		2879		0.36		971.8		548
1	1	1	#	#	#	#	#	#	#	1	1	1000.0	0.02	771.58	17	326	65		45.0		19982		3055		0.36		765.0		521
0	1	#	#	#	1	1	#	#	#	#	1	1000.0	0.00	376.11	16	205	54		57.5		19989		5291		0.36		919.2		472
1	0	#	#	#	#	#	1	1	#	#	0	0.0	0.00	259.63	16	63	13		53.8		19991		12437		0.36		860.2		240
0	#	0	1	#	1	#	#	#	#	#	0	0.0	0.00	263.84	15	112	27		51.2		19945		8270		0.36		768.5		346
1	0	#	#	#	#	#	1	1	#	#	1	1000.0	0.00	421.59	13	339	85		51.2		19971		1235		0.36		665.6		555
#	0	0	0	#	#	#	0	#	#	#	0	1000.0	0.00	209.64	13	80	16		53.4		19974		8717		0.36		693.7		329
0	#	1	#	0	#	0	#	#	#	#	1	0.0	0.00	303.49	12	197	47		56.9		19952		1523		0.36		682.7		583
0	#	0	0	#	0	#	#	#	#	#	0	1000.0	0.09	247.05	12	229	24		51.8		19974		2002		0.36		621.5		559
1	0	#	#	#	#	#	0	0	#	#	0	1000.0	0.11	412.59	12	248	20		56.0		19744		2060		0.36		672.5		553
#	0	0	0	#	#	#	0	#	#	#	1	0.0	0.14	280.43	12	135	20		57.8		19967		4050		0.36		693.7		526
#	0	1	#	0	#	#	#	0	#	#	0	1000.0	0.00	259.65	12	85	26		55.4		19934		10188		0.36		664.3		296
0	#	1	#	1	#	1	#	#	#	#	1	1000.0	0.00	246.08	11	312	70		52.9		19989		224		0.36		581.9		616
